targetMuscle,title,src
shoulders,Weight Plate Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Weight-Plate-Front-Raise-1.gif
shoulders,Two Arm Cable Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Two-Arm-Cable-Lateral-Raise.gif
shoulders,Landmine Squat to Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Landmine-Press.gif
shoulders,Cable Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shoulder-Press.gif
shoulders,Barbell Rear Delt Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Rear-Delt-Raise.gif
shoulders,Double Cable Front Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Double-Cable-Front-Raise.gif
shoulders,Standing Smith Machine Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Smith-Machine-Shoulder-Press.gif
shoulders,Dumbbell W Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-W-Press.gif
shoulders,Dumbbell One Arm Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-One-Arm-Shoulder-Press.gif
shoulders,Dumbbell Scaption,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Scaption.gif
shoulders,Barbell Clean and Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Clean-and-Press-.gif
shoulders,Dumbbell Cuban Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/dumbbell-cuban-press-.gif
shoulders,Dumbbell Cuban External Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Cuban-External-Rotation.gif
shoulders,Standing Alternating Dumbbell Shoulder Press,https://fitnessprogramer.com/wp-content/uploads/2021/06/Standing-Alternating-Dumbbell-Shoulder-Press.gif
shoulders,Cable External Shoulder Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-External-Shoulder-Rotation.gif
shoulders,Cable Internal Shoulder Rotation,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Internal-Shoulder-Rotation.gif
shoulders,Across Chest Shoulder Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/04/Across-Chest-Shoulder-Stretch.gif
shoulders,Standing Reach Up Back rotation Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/04/Standing-Reach-Up-Back-rotation-Stretch.gif
shoulders,Shoulder Stretch Behind Back,https://fitnessprogramer.com/wp-content/uploads/2021/04/Shoulder-Stretch-Behind-Back.gif
shoulders,Incline Dumbbell Side Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/06/Incline-Dumbbell-Side-Lateral-Raise.gif
shoulders,Dumbbell Side Lying Rear Delt Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Side-Lying-Rear-Delt-Raise.gif
